id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
23,,Enns,48.19583,14.45028,317.0,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
24,,Feldkirch,47.27111,9.60972,438.4,1995-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
25,,Fischbach,47.44417,15.64389,1034.4,1996-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
26,,Freistadt,48.49472,14.50639,539.0,1992-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
27,,Gallspach,48.20422,13.82506,425.9,2012-04-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,ja
28,,Galtür,46.96806,10.18556,1587.0,1996-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
29,,Gmunden,47.91472,13.8075,424.4,1982-08-13 00:00:00+00:00,2016-04-26 23:59:59+00:00,Oberösterreich,True,True,,,,,ja
30,,Graz Universität/Heinrichstraße,47.08,15.448056,366.0,1988-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,False,False,,,,,ja
31,,Groß-Enzersdorf,48.19975,16.55917,154.3,1991-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
32,,Gumpoldskirchen,48.03583,16.28083,212.0,1990-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
36,,Hohe Wand/Hochkogelhaus,47.82222,16.035,936.9,1993-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
37,,Schöngrabern,48.60333,16.06167,253.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
38,,Imst,47.23694,10.74222,773.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
39,,Innsbruck Universität,47.25986,11.38425,578.0,1987-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
40,,Irdning-Gumpenstein,47.49506,14.09967,697.1,1993-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
42,,Jenbach,47.389999,11.755278,530.0,1994-07-01 00:00:00+00:00,2021-10-22 23:59:59+00:00,Tirol,False,False,,,,,ja
